"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CV","FC","FD","FF","FS","I","PE","RB","CA","G","SG","FT","DD","GS","PP","DP","GC"
"81","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,31,267,"mei","Provável",2.7,9.29,0.07,2.56,"Vasco",1,NA,16,5,21,51,2,65,27,5,3,NA,1,NA,NA,2,NA,NA
"82","Argélico Fucks","argel-fucks","Argel Fucks","https://s.glbimg.com/es/sde/f/2019/07/03/cdd47cd362cfe3cf486b63644ffb552d_FORMATO.png",73317,31,341,"tec","Provável",1.82,6.68,0.03,2.85,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2019/09/18/7a3422e868242f542e08d9bd8d472869_FORMATO.png",73465,31,266,"zag","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/03/29/bbfcc261f62ebb5c1dbea1b7e31f6dca_FORMATO.png",38001,31,265,"gol","Nulo",0,2.08,0,-1,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"85","Rafael Vaz dos Santos","rafael-vaz","Rafael Vaz","https://s.glbimg.com/es/sde/f/2019/03/26/2893d827588a8a8150dbe4d07ec4e480_FORMATO.png",73421,31,290,"zag","Provável",2.3,12.53,-0.17,5.31,"Goiás",1,NA,10,11,19,18,NA,96,26,NA,5,9,NA,NA,NA,NA,NA,1
"86","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,31,356,"ata","Nulo",0,6,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Marco Aurélio de Oliveira Breves","marcao","Marcão","https://s.glbimg.com/es/sde/f/2019/08/19/a82fef08b06cc512020f41628fd14b56_FORMATO.png",73476,31,266,"tec","Provável",5.72,7.87,0.5,4.14,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,31,275,"gol","Nulo",4,6.94,-0.13,4.5,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA
"89","Júlio César Godinho Catole","julinho","Julinho","https://s.glbimg.com/es/sde/f/2019/02/18/cf3d8eab528cc3bf388f557c9134576c_FORMATO.png",73501,31,314,"mei","Provável",-0.1,1.89,-1.08,1.76,"Avaí",NA,NA,7,6,6,4,NA,22,14,3,NA,NA,NA,NA,NA,NA,NA,NA
"90","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,31,284,"mei","Suspenso",-0.5,7.29,0.22,2.99,"Grêmio",2,NA,14,2,3,9,NA,31,14,6,3,NA,NA,NA,NA,NA,NA,NA
"91","Márcio Rafael Ferreira de Souza","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/06/26/4bdc0f48c7f1ccb066d6c8c92332453c_FORMATO.png",38144,31,262,"lat","Suspenso",4.4,10.17,1,4.3,"Flamengo",4,NA,25,3,1,15,1,30,20,6,NA,9,NA,NA,NA,NA,NA,NA
"92","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,31,283,"ata","Provável",0,5.48,0,1.83,"Cruzeiro",3,NA,42,12,12,35,14,51,5,9,5,NA,1,NA,NA,NA,NA,NA
"93","Luis Otavio Bonilha de Oliveira Santos","nene-bonilha","Nenê Bonilha","https://s.glbimg.com/es/sde/f/2019/07/21/06edeac8d4c973d330e8be3fdad18607_FORMATO.png",73608,31,356,"mei","Nulo",0.5,2.02,-0.45,0.28,"Fortaleza",NA,NA,6,2,2,3,NA,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"94","Francinilson Santos Meireles","maranhao","Maranhão","https://s.glbimg.com/es/sde/f/2019/08/16/a83ba6d1335bae5be0bf59085ad262c8_FORMATO.png",73513,31,341,"ata","Nulo",0,3.04,0,1.58,"CSA",NA,NA,12,1,3,18,4,14,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"95","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,31,282,"lat","Provável",8.5,10.5,0.24,2.58,"Atlético-MG",1,NA,27,3,3,17,2,41,17,4,3,5,1,NA,NA,NA,NA,NA
"96","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,31,276,"zag","Provável",5.6,8.79,-1.24,3.95,"São Paulo",1,NA,40,3,8,20,1,29,34,4,1,12,NA,NA,NA,NA,NA,NA
"97","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2019/07/16/4167381432d7908874cb17eaac12b616_FORMATO.png",73721,31,263,"mei","Nulo",0,3.8,0,0.73,"Botafogo",NA,NA,2,NA,NA,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2019/02/27/92700f5dfefdb214d227ca999caedfb3_FORMATO.png",73540,31,265,"ata","Nulo",0,8.08,0,2.25,"Bahia",NA,NA,11,8,5,15,3,9,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"99","Marco Gastón Rubén Rodríguez","marco-ruben","Marco Ruben","https://s.glbimg.com/es/sde/f/2019/03/31/f20966ed6b70c83b4d440ca5028a8ee4_FORMATO.png",73741,31,293,"ata","Suspenso",-1.8,12.65,-0.63,3.39,"Athlético-PR",3,NA,34,10,12,11,6,15,11,3,3,NA,3,NA,NA,NA,NA,NA
"100","Gilberto dos Santos Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/26/e60267387b772e4aca726b4377fab481_FORMATO.png",73789,31,290,"mei","Provável",1.6,3.2,-0.21,2.55,"Goiás",NA,NA,19,2,2,9,NA,16,30,3,NA,NA,NA,NA,NA,NA,NA,NA
"101","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2019/04/26/ed48caa8134e11a7c39b6c0d1b2146a7_FORMATO.png",73800,31,262,"zag","Provável",6.8,9.89,1.32,4.23,"Flamengo",NA,NA,27,4,15,10,1,24,21,3,2,11,NA,NA,NA,NA,NA,NA
"102","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/09/19/5713b43cf674fc15a512f9431af9e7c1_FORMATO.png",73896,31,282,"ata","Nulo",0,9.11,0,1.64,"Atlético-MG",1,1,26,10,12,26,1,31,17,3,NA,NA,1,NA,NA,NA,NA,NA
"103","Jean Cléber Santos da Silva","jean-cleber","Jean Cléber","https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png",73858,31,341,"mei","Nulo",4.2,3.4,0.55,1.4,"CSA",2,NA,21,2,5,15,NA,22,19,5,NA,NA,NA,NA,NA,NA,NA,NA
"104","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2019/03/28/2438d7ca6b16c454a1fc9ccb45ec389d_FORMATO.png",73974,31,277,"mei","Dúvida",4,5.38,-0.15,2.85,"Santos",1,NA,27,NA,7,20,NA,17,37,6,NA,NA,NA,NA,NA,NA,NA,NA
"105","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,31,263,"gol","Provável",0.7,8.86,-1.79,4.5,"Botafogo",NA,NA,NA,NA,NA,5,NA,13,NA,3,NA,7,NA,49,31,NA,NA,NA
"106","Matheus Barbosa Teixeira","matheus-barbosa","Matheus Barbosa","https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png",74069,31,314,"mei","Nulo",0,3.7,0,1.9,"Avaí",1,NA,15,4,6,11,1,37,21,1,NA,NA,NA,NA,NA,NA,NA,NA
"107","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2019/07/01/1eecca318970c97227763ef6d9c7a67b_FORMATO.png",75295,31,285,"ata","Provável",-0.6,11.58,-0.63,4.25,"Internacional",1,1,22,11,22,32,9,32,9,1,5,NA,1,NA,NA,1,NA,NA
"108","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2019/04/26/cfed24bcffd157785687c5223fdb1106_FORMATO.png",73992,31,262,"lat","Provável",0,2.97,0,1.99,"Flamengo",1,NA,12,1,1,9,2,10,9,3,NA,3,NA,NA,NA,NA,NA,NA
"109","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,31,277,"ata","Nulo",-0.5,0.78,-0.01,0.39,"Santos",NA,1,17,2,4,17,7,17,9,4,1,NA,NA,NA,NA,NA,NA,NA
"110","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2019/07/08/d6e7cb486a2b10326ee24be81701aef1_FORMATO.png",74213,31,265,"mei","Dúvida",6.7,4.5,0.37,1.19,"Bahia",2,NA,15,3,5,6,1,16,8,5,1,NA,NA,NA,NA,NA,NA,NA
"111","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png",74140,31,265,"mei","Provável",3,6.69,0.4,3.06,"Bahia",1,NA,10,9,6,61,3,42,21,3,2,NA,NA,NA,NA,NA,NA,NA
"112","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2019/02/04/4412c9f53c873f0f2ce2b2038d648bbf_FORMATO.jpeg",74074,31,267,"lat","Nulo",0,4.01,0,2.15,"Vasco",NA,NA,2,NA,2,NA,NA,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"113","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2019/03/30/53ad5d19d960420d8a169d449092cfdf_FORMATO.png",78077,31,293,"lat","Provável",9.8,7.91,0.64,4.62,"Athlético-PR",1,NA,21,4,4,30,1,42,26,2,4,6,NA,NA,NA,NA,NA,NA
"114","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,31,285,"ata","Dúvida",1.1,6.87,0.04,3.83,"Internacional",NA,NA,7,2,5,2,NA,12,7,NA,2,NA,NA,NA,NA,NA,NA,NA
"115","Auremir Evangelista dos Santos","auremir","Auremir","https://s.glbimg.com/es/sde/f/2019/03/28/6abb09758933bfcad8f3734cd8fbe484_FORMATO.png",77570,31,354,"mei","Provável",0,3.83,0,0.98,"Ceará",NA,NA,8,NA,NA,3,NA,9,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"116","Alexandre Rosa Paschoalato","alexandre-cajuru","Alexandre Cajuru","https://s.glbimg.com/es/sde/f/2019/03/23/edb53fb0c37fc84723a26e49ce65dfa0_FORMATO.png",80276,31,341,"gol","Contundido",0,3,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2019/03/26/32f1ef47f09a17579130bc990308fe11_FORMATO.png",77500,31,290,"zag","Contundido",0,2.95,0,1.27,"Goiás",NA,NA,9,NA,1,2,1,11,6,3,NA,4,NA,NA,NA,NA,NA,NA
"118","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2019/04/26/c90b6f282ed66e95550b8b12c749706c_FORMATO.png",78086,31,262,"gol","Nulo",0,3.3,0,1.9,"Flamengo",NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,7,5,NA,NA,NA
"119","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2019/09/16/6f2f20a500853211de97a81f1227e4ae_FORMATO.png",80313,31,266,"lat","Provável",8,7.88,0.83,3.13,"Fluminense",2,NA,26,7,10,18,1,69,25,1,NA,7,NA,NA,NA,NA,NA,NA
"120","Everaldo Stum","everaldo","Everaldo","https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png",78117,31,315,"ata","Provável",3.3,16.06,0.21,4.55,"Chapecoense",1,NA,61,24,39,45,2,70,13,7,11,NA,1,NA,NA,1,NA,NA
"121","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2019/07/30/6d045d7809171c7ff080a09196c9b11d_FORMATO.png",80287,31,284,"ata","Provável",2.2,7.03,-0.06,4.25,"Grêmio",4,NA,23,14,14,25,4,41,18,6,4,NA,1,NA,NA,1,NA,NA
"122","Vagner Antônio Brandalise","vagner","Vagner","https://s.glbimg.com/es/sde/f/2019/05/08/f2f7ed3e3f857655c8c5e56733e7aa3d_FORMATO.png",78151,31,315,"gol","Contundido",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2019/03/28/1fb1aeab02e0006889fbd9ef7a4dd6e0_FORMATO.png",78248,31,277,"zag","Suspenso",-8.6,5.24,-1.48,2.95,"Santos",NA,2,32,4,7,17,NA,41,17,8,3,13,NA,NA,NA,NA,NA,NA
"124","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png",78584,31,265,"gol","Provável",-2,13.67,-0.96,6.2,"Bahia",NA,NA,NA,NA,NA,7,NA,7,1,NA,NA,14,NA,54,28,NA,1,NA
"125","Alberto Valentim do Carmo Neto","alberto-valentim","Alberto Valentim","https://s.glbimg.com/es/sde/f/2019/10/14/d89852bf9d390ea20a02fb63d0894b27_FORMATO.png",84863,31,263,"tec","Provável",0.81,6.66,-0.47,2.94,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2019/05/07/9db851eba6d52f43af59baaf6fc0aa8e_FORMATO.png",80318,31,265,"lat","Nulo",0,3.23,0,0.85,"Bahia",NA,NA,13,NA,NA,2,1,8,3,3,NA,3,NA,NA,NA,NA,NA,NA
"127","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,31,277,"ata","Nulo",0,3.59,0,-0.29,"Santos",NA,NA,5,4,6,NA,2,9,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"128","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png",78435,31,262,"ata","Dúvida",5.1,9.48,-0.77,3.99,"Flamengo",3,NA,24,9,21,16,3,33,15,1,4,NA,NA,NA,NA,NA,NA,NA
"129","Arthur Caíke do Nascimento Cruz","arthur-caike","Arthur Caíke","https://s.glbimg.com/es/sde/f/2019/02/27/3388dd10ab1c840b939f315bb52195b8_FORMATO.png",80337,31,265,"ata","Nulo",-1.3,8.68,-0.11,2.31,"Bahia",1,1,17,8,16,12,4,23,6,1,4,NA,1,NA,NA,NA,NA,NA
"130","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2019/03/28/baad423e3d4f7d7ca9067444675bd599_FORMATO.png",78475,31,354,"ata","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,31,283,"mei","Nulo",0.2,2.83,-0.89,1.42,"Cruzeiro",1,NA,12,1,4,8,NA,20,15,2,NA,NA,NA,NA,NA,NA,NA,NA
"132","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,31,354,"mei","Provável",3,6.73,0.22,2.33,"Ceará",NA,NA,44,4,4,26,3,36,56,7,1,NA,1,NA,NA,NA,NA,NA
"133","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,31,262,"lat","Nulo",8,9.14,1.45,4.45,"Flamengo",2,NA,19,2,2,8,NA,55,34,2,NA,10,NA,NA,NA,NA,NA,NA
"134","Renato Vieira Rodrigues","renatinho","Renatinho","https://s.glbimg.com/es/sde/f/2019/03/26/4bc605d5a170ce1412fa7c8250432d85_FORMATO.png",80395,31,290,"mei","Contundido",0,2.11,0,0.91,"Goiás",NA,NA,4,4,4,7,1,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"135","Marcos de Paula Dutra","marcos","Marcos","https://s.glbimg.com/es/sde/f/2019/03/26/97c014749e1bd594e9dc76f33b45a278_FORMATO.png",78495,31,290,"gol","Nulo",0,2.23,0,-0.5,"Goiás",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"136","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,31,277,"mei","Dúvida",0,6.94,0,1.74,"Santos",1,NA,20,9,11,25,NA,41,11,2,1,NA,1,NA,NA,NA,NA,NA
"137","Matheus Francisco Inácio","matheus-inacio","Matheus Inácio","https://s.glbimg.com/es/sde/f/2019/04/23/0874eaa1c85dea23ae378fbf3d5e1768_FORMATO.png",80394,31,356,"gol","Contundido",0,2,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png",78577,31,354,"mei","Provável",4.8,8,0.97,3.81,"Ceará",6,NA,26,16,22,9,1,75,41,1,1,NA,NA,NA,NA,NA,NA,NA
"139","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2019/04/26/24196e5c70d2a4de33babf207cf06539_FORMATO.png",78478,31,262,"mei","Provável",0.7,13.18,-0.24,4.01,"Flamengo",6,NA,43,6,12,20,1,58,56,2,2,NA,1,NA,NA,NA,NA,NA
"140","Paulo Oliveira de Souza Junior","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2019/05/07/d675dad7ddcb13ca96fcc4065ac3b404_FORMATO.png",78512,31,314,"lat","Nulo",0,2.43,0,1.6,"Avaí",NA,NA,7,NA,2,11,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Lucas Rafael Araujo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,31,275,"mei","Suspenso",6.9,5.3,1.23,1.41,"Palmeiras",3,1,16,3,1,13,NA,19,8,3,1,NA,NA,NA,NA,NA,NA,NA
"142","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,31,284,"zag","Provável",0.1,12.57,-2.1,6.07,"Grêmio",NA,NA,11,1,4,12,NA,26,36,4,3,6,NA,NA,NA,NA,NA,NA
"143","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/05/23/2e7a0138d60a1418cacfcd315daf7491_FORMATO.png",78605,31,264,"mei","Provável",0.9,5.97,-0.56,3.22,"Corinthians",NA,NA,16,1,1,4,NA,16,30,2,NA,NA,NA,NA,NA,NA,NA,NA
"144","Franco Matías Di Santo","di-santo","Di Santo","https://s.glbimg.com/es/sde/f/2019/08/06/4b4ee867e422a17af92dd778a5d83993_FORMATO.png",80748,31,282,"ata","Provável",0.4,6,0.38,1.39,"Atlético-MG",NA,NA,16,7,4,8,6,12,6,2,2,NA,NA,NA,NA,1,NA,NA
"145","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2019/05/23/74dd3815a00b56d9fc765cad761ff91c_FORMATO.png",78715,31,264,"mei","Nulo",0.2,8.47,0.16,0.74,"Corinthians",1,NA,23,1,4,12,NA,19,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"146","Diego Santos Gama Camilo","biro-biro","Biro Biro","https://s.glbimg.com/es/sde/f/2019/07/10/28265c0a5960ef7125c08e60594b3b70_FORMATO.png",80949,31,263,"ata","Contundido",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2019/01/14/a90df5771f9066a2c5babe59b575790d_FORMATO.jpeg",80692,31,275,"zag","Nulo",0.4,8.95,-0.19,3.75,"Palmeiras",NA,NA,11,3,3,10,NA,14,18,1,NA,3,NA,NA,NA,NA,NA,NA
"148","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2019/05/23/d6ee8c1facd131fa22d648e2509f5cac_FORMATO.png",80664,31,264,"lat","Provável",0,2.37,0.06,1.55,"Corinthians",NA,1,11,NA,NA,9,NA,12,7,1,NA,3,NA,NA,NA,NA,NA,NA
"149","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png",78654,31,354,"zag","Nulo",4.7,4.32,0.8,4.87,"Ceará",NA,NA,3,NA,1,NA,NA,1,5,1,NA,3,NA,NA,NA,NA,NA,NA
"150","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,31,314,"mei","Provável",3.5,5.5,1.24,2.54,"Avaí",NA,NA,30,7,10,29,1,55,38,1,1,NA,1,NA,NA,1,NA,NA
"151","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png",78851,31,354,"gol","Nulo",0,4.73,0,1.2,"Ceará",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"152","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2019/03/26/b8ec528564308c15c0bb71bc4f8a95ab_FORMATO.png",80944,31,290,"mei","Nulo",0,4.68,0,1.21,"Goiás",NA,NA,9,NA,6,9,1,19,7,1,1,NA,1,NA,NA,NA,NA,NA
"153","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,31,282,"mei","Dúvida",0,6.81,0,3.48,"Atlético-MG",NA,NA,16,NA,1,14,NA,13,21,2,1,NA,NA,NA,NA,NA,NA,NA
"154","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg",81150,31,275,"lat","Nulo",-6.1,5.75,-1.85,-0.4,"Palmeiras",NA,NA,1,NA,NA,1,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"155","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,31,276,"lat","Provável",3.9,15.32,-0.12,6.49,"São Paulo",1,NA,36,8,21,34,NA,61,52,5,5,12,2,NA,NA,1,NA,NA
"156","Marinaldo dos Santos Oliveira","naldo","Naldo","https://s.glbimg.com/es/sde/f/2019/03/23/aac48c4f03031bbaf833ecb77aaca2e3_FORMATO.png",78897,31,341,"mei","Contundido",0,3.77,0,2.07,"CSA",3,NA,40,5,7,15,2,30,37,5,NA,NA,NA,NA,NA,NA,NA,NA
"157","Marcos Vinícius dos Santos Gonçalves","marquinhos-santos","Marquinhos Santos","https://s.glbimg.com/es/sde/f/2019/09/19/b0d1c45c9de1abdfb26e083adff2e1b1_FORMATO.png",81031,31,315,"tec","Provável",3.45,8.29,0.15,2.77,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,31,285,"mei","Contundido",0,7.12,0,1.4,"Internacional",NA,NA,2,NA,NA,1,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"159","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/01/14/c215c66c4f1a435e26c1d93d00555071_FORMATO.jpeg",78855,31,275,"mei","Provável",-0.6,5.03,-0.84,2.32,"Palmeiras",NA,NA,26,1,1,10,1,10,22,3,1,NA,NA,NA,NA,NA,NA,NA
"160","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2019/05/30/7e60ff2712f74e10b9a6bcf9661f2f8f_FORMATO.png",81682,31,282,"mei","Provável",5.5,10.29,1.24,3.11,"Atlético-MG",1,1,17,19,19,6,NA,74,12,2,4,NA,1,NA,NA,NA,NA,NA
"161","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/09/27/93bdf7db4666448d0da5432a29006d5f_FORMATO.png",81241,31,267,"zag","Provável",-3,3.46,-1.4,2.6,"Vasco",NA,NA,13,3,2,4,NA,24,17,5,NA,8,1,NA,NA,NA,NA,NA
