"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","A","FC","I","RB","CA","FD","FF","GC","G","CV","FT","PP"
"81","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,34,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",NA,NA,4,NA,9,1,NA,5,NA,6,3,NA,NA,NA,NA,1,NA,NA
"82","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,34,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,34,"CHA","lat","Provável",0.3,6.26,-0.55,3.38,"Chapecoense",NA,NA,26,NA,71,6,3,37,NA,44,3,2,5,NA,NA,NA,NA,NA
"84","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,34,"AME","mei","Nulo",0,1.14,0,0.09,"América-MG",NA,NA,15,NA,23,NA,1,19,1,9,3,2,4,NA,NA,2,1,NA
"85","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,34,"COR","zag","Provável",2.5,9.24,-0.15,2.59,"Corinthians",NA,NA,16,NA,20,9,NA,19,1,20,4,NA,7,NA,2,NA,NA,NA
"86","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,34,"CRU","zag","Provável",5,8.28,0.63,2.6,"Cruzeiro",NA,NA,5,NA,14,9,NA,27,2,27,2,1,5,NA,NA,NA,NA,NA
"87","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,34,"CEA","mei","Nulo",0,3.59,0.02,0.54,"Ceará",NA,NA,8,NA,5,NA,NA,6,NA,4,1,NA,1,NA,NA,NA,NA,NA
"88","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,34,"COR","gol","Nulo",0,7.17,0,4.59,"Corinthians",23,NA,2,11,2,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"89","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,34,"AME","mei","Provável",-0.5,1.54,-0.42,0.45,"América-MG",NA,NA,20,NA,64,NA,NA,34,NA,33,7,3,4,NA,NA,1,NA,NA
"90","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,34,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",NA,NA,NA,NA,1,1,NA,3,NA,5,2,NA,NA,NA,NA,NA,NA,NA
"91","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,34,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",NA,NA,6,NA,8,1,NA,2,1,7,NA,NA,2,NA,NA,NA,NA,NA
"92","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/08/14/896171e75b5e390c3f18888c50298fe1_FORMATO.png",51495,34,"CEA","zag","Provável",0,5.59,0,3.37,"Ceará",NA,NA,6,NA,25,10,NA,22,1,24,4,2,2,NA,1,NA,NA,NA
"93","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,34,"FLA","zag","Provável",5.5,15.6,1.16,5.23,"Flamengo",NA,NA,24,NA,27,12,NA,10,NA,26,1,4,11,NA,2,NA,NA,NA
"94","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,34,"COR","mei","Provável",7.5,8.26,-0.85,2.77,"Corinthians",NA,NA,16,NA,14,NA,NA,14,NA,29,4,NA,5,NA,1,NA,NA,NA
"95","Éverton Augusto de Barros Ribeiro","everton-ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2018/05/04/295690667a6a82986c742697c508ce3d_FORMATO.png",51772,34,"FLA","mei","Provável",5.1,7.88,0.68,4.13,"Flamengo",NA,NA,61,NA,121,NA,5,42,1,52,5,15,22,NA,4,1,NA,NA
"96","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,34,"ATL","gol","Provável",5,11.57,0.07,3.8,"Atlético-MG",57,NA,4,39,23,9,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"97","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,34,"BOT","lat","Nulo",0,3.88,0,2.27,"Botafogo",NA,NA,1,NA,21,3,NA,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"98","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,34,"SAO","zag","Nulo",0,7.21,0,2.88,"São Paulo",NA,NA,10,NA,34,7,NA,30,NA,38,5,3,6,1,1,2,NA,NA
"99","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,34,"BOT","lat","Contundido",0,7.21,0,3.94,"Botafogo",NA,NA,35,NA,40,4,NA,24,NA,34,5,2,4,NA,1,1,NA,NA
"100","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,34,"ATL","mei","Provável",0.9,6.61,-1.21,3.38,"Atlético-MG",NA,NA,31,NA,59,NA,4,33,5,39,8,6,16,NA,5,NA,NA,NA
"101","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,34,"CRU","zag","Nulo",0,10.89,0,5.62,"Cruzeiro",NA,NA,16,NA,34,7,NA,18,1,39,5,5,6,NA,3,NA,NA,NA
"102","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2018/07/01/5fac5fd0f63dc1ff4b6c80d6765e6c04_FORMATO.png",61188,34,"BAH","ata","Nulo",0,12.75,0,5.99,"Bahia",NA,NA,27,NA,29,NA,NA,17,3,14,1,9,19,NA,7,NA,NA,NA
"103","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/1f9835d5fb38d7e164ba9852c6be3209_FORMATO.png",60834,34,"AME","ata","Provável",1.5,8.7,0.22,1.99,"América-MG",NA,NA,48,NA,60,NA,3,40,6,26,4,2,18,NA,1,2,NA,NA
"104","Jael Ferreira Vieira","jael","Jael","https://s.glbimg.com/es/sde/f/2018/05/18/528786142cfbdf2221caa974ac75720e_FORMATO.png",60859,34,"GRE","ata","Provável",-3.3,3.01,-2.52,2.95,"Grêmio",NA,NA,22,NA,41,NA,1,21,2,7,2,4,6,NA,5,NA,1,1
"105","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,34,"INT","lat","Nulo",0,5.09,0,3.55,"Internacional",NA,NA,NA,NA,8,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,34,"ATL","lat","Provável",2.2,4.27,0.65,1.22,"Atlético-MG",NA,NA,6,NA,50,4,1,35,5,21,4,1,2,NA,NA,NA,NA,NA
"107","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,34,"CEA","ata","Nulo",0,5.6,0,2.18,"Ceará",NA,NA,25,NA,41,NA,3,21,1,16,NA,9,9,NA,1,NA,NA,NA
"108","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,34,"AME","ata","Nulo",0,5.33,0,1.33,"América-MG",NA,NA,11,NA,33,NA,1,6,2,6,1,3,2,NA,1,NA,1,NA
"109","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2018/07/13/19610200497a0a011b67ab0cb2f99d0b_FORMATO.png",61985,34,"FLU","mei","Dúvida",0,2.38,0,0.65,"Fluminense",NA,NA,5,NA,7,NA,NA,7,NA,10,4,NA,NA,NA,NA,NA,NA,NA
"110","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2018/04/08/8ed64ccf988eab46873b7e4c9d99ebef_FORMATO.png",62009,34,"INT","mei","Nulo",0,3.72,0,2.35,"Internacional",NA,NA,6,NA,16,NA,2,6,2,3,NA,1,7,NA,1,NA,NA,NA
"111","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,34,"PAL","lat","Nulo",5,6.48,0.94,2.69,"Palmeiras",NA,NA,6,NA,13,9,NA,13,NA,5,1,1,3,NA,NA,NA,1,1
"112","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2018/05/04/4531c11cdf54bdb520247afb817f4dd1_FORMATO.png",62086,34,"FLA","lat","Suspenso",3,4.15,-0.35,2.79,"Flamengo",NA,NA,19,NA,36,8,1,23,2,13,3,1,2,NA,NA,NA,NA,NA
"113","Wallyson Ricardo Maciel Monteiro","wallyson","Wallyson","https://s.glbimg.com/es/sde/f/2018/07/16/901eb351baf6774200546a4cb812d2a7_FORMATO.png",62127,34,"VIT","ata","Nulo",0,8.81,0,3.23,"Vitória",NA,NA,16,NA,38,NA,4,7,2,11,2,6,13,NA,2,NA,1,NA
"114","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/04/09/d76608c4a8a334165ef8611858ab2432_FORMATO.png",62974,34,"VAS","zag","Dúvida",0,5.54,0,2.7,"Vasco",NA,NA,8,NA,19,3,NA,11,NA,15,1,2,5,1,NA,NA,NA,NA
"115","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,34,"CRU","mei","Provável",0,5.11,0.11,1.74,"Cruzeiro",NA,NA,25,NA,71,NA,3,32,3,30,7,5,10,NA,1,NA,NA,NA
"116","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2018/09/03/03264bf38dfae9a050a9be1e98d381e5_FORMATO.png",62137,34,"BAH","tec","Provável",5.05,11.18,0,3.81,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2018/08/21/8168274098fd8c821729681da346e325_FORMATO.png",62024,34,"SAO","lat","Nulo",0,4.34,0,3.71,"São Paulo",NA,NA,10,NA,17,6,1,12,NA,14,2,NA,3,NA,NA,NA,NA,NA
"118","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,34,"SAN","gol","Provável",1.5,14.74,-0.17,4.02,"Santos",40,NA,8,31,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2018/01/30/edb0d67e60d39d102b52517058ff4227_FORMATO.jpeg",63013,34,"PAL","lat","Nulo",0,12.82,0,6.06,"Palmeiras",NA,NA,20,NA,86,8,3,43,NA,65,5,2,3,NA,1,NA,1,NA
"120","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2018/07/27/66258debb61166bf3d552593e8934529_FORMATO.png",62129,34,"ATL","mei","Provável",-0.7,2.5,-0.24,1.24,"Atlético-PR",NA,NA,2,NA,21,NA,NA,30,NA,24,5,3,6,NA,1,NA,NA,NA
"121","Marcelo de Oliveira Santos","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/07/05/01edbc76fc669fabaedd576160699382_FORMATO.png",62136,34,"FLU","tec","Provável",0.22,10.47,-1,3.76,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2018/05/02/6971ebec7f9c3c38db9490eb58f746f3_FORMATO.png",68808,34,"BAH","lat","Contundido",0,12.72,0,5.39,"Bahia",NA,NA,36,NA,45,8,1,25,NA,54,4,4,5,NA,NA,NA,NA,NA
"123","Evanildo Borges Barbosa Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/03/21/a365ec393385db562f884705537218a4_FORMATO.png",63119,34,"VIT","lat","Contundido",0,3.44,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,34,"FLU","gol","Nulo",0,3.38,0,7.5,"Fluminense",3,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2018/08/01/32bbffbc4731c16e4700b820b4ccdb68_FORMATO.png",63172,34,"AME","zag","Nulo",0,3.61,0,0.53,"América-MG",NA,NA,5,NA,12,1,NA,12,3,12,3,1,3,1,NA,NA,NA,NA
"126","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,34,"CHA","zag","Provável",0.7,7.56,-1.23,3.17,"Chapecoense",NA,NA,19,NA,19,8,NA,32,NA,38,2,1,7,NA,NA,1,1,NA
"127","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2018/03/21/4447e0929a366fd4391a8f2df378f705_FORMATO.png",63058,34,"VIT","mei","Provável",1.4,4.47,0.14,2.32,"Vitória",NA,NA,10,NA,19,NA,1,19,1,27,1,1,7,NA,NA,NA,NA,NA
"128","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,34,"ATL","ata","Dúvida",2.9,14.5,-0.29,4.59,"Atlético-MG",NA,NA,39,NA,101,NA,5,54,3,79,6,8,22,NA,3,NA,1,NA
"129","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2018/08/21/f187045e0e177e81233e607955059a4c_FORMATO.png",63422,34,"SAO","mei","Provável",2.1,8.02,0.66,3.38,"São Paulo",NA,NA,37,NA,50,NA,NA,46,NA,75,5,NA,2,NA,NA,NA,NA,NA
"130","Moisés Lima Magalhães","moises","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,34,"PAL","mei","Contundido",0,5.51,0,2.19,"Palmeiras",NA,NA,25,NA,54,NA,NA,29,NA,37,6,4,7,NA,2,NA,1,NA
"131","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,34,"INT","mei","Provável",17.2,11.24,2.87,2.99,"Internacional",NA,NA,38,NA,66,NA,5,29,2,35,6,5,12,NA,3,1,NA,NA
"132","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,34,"INT","zag","Provável",10.7,13.64,0.1,6.18,"Internacional",NA,NA,26,NA,28,12,NA,19,2,41,4,3,11,NA,2,NA,NA,NA
"133","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/05/07/3497662bc32f7504a1fa070ddc56cce4_FORMATO.png",63194,34,"AME","lat","Provável",2.8,11.87,-0.17,4.72,"América-MG",NA,NA,24,NA,60,6,2,40,4,48,7,10,10,NA,2,NA,1,NA
"134","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/18/c5296c34cd5096c635acc7874899ab65_FORMATO.png",68698,34,"CRU","mei","Nulo",0,6.27,0,2.21,"Cruzeiro",NA,NA,13,NA,35,NA,1,35,NA,26,5,2,13,NA,2,NA,1,NA
"135","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,34,"GRE","ata","Nulo",0,7.15,0,1.89,"Grêmio",NA,NA,31,NA,36,NA,NA,38,12,10,4,7,13,NA,4,NA,NA,NA
"136","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2018/05/23/bed8c47807867724de1462e2c2e094cc_FORMATO.png",68727,34,"SAN","lat","Contundido",4,13.68,-0.02,5.78,"Santos",NA,NA,38,NA,90,14,2,22,2,73,5,4,12,NA,1,NA,1,NA
"137","Márcio Passos de Albuquerque","emerson-sheik","Emerson Sheik","https://s.glbimg.com/es/sde/f/2018/05/18/64c04239bb8fc608b9061c8f7833750c_FORMATO.png",68744,34,"COR","ata","Nulo",0,5.76,0,1.27,"Corinthians",NA,NA,15,NA,9,NA,2,7,1,4,2,2,1,NA,NA,NA,1,NA
"138","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,34,"ATL","ata","Nulo",0,4.27,0,2.82,"Atlético-PR",NA,NA,15,NA,14,NA,1,14,3,4,5,5,17,NA,3,NA,NA,NA
"139","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2018/05/24/ddefa1a922260aeb7a1835dd4a8117f5_FORMATO.png",63110,34,"CHA","mei","Nulo",2.5,3.58,0.23,1.52,"Chapecoense",NA,NA,10,NA,8,NA,NA,6,1,7,1,NA,NA,NA,NA,NA,NA,NA
"140","Sérgio Dutra Júnior","junior-dutra","Júnior Dutra","https://s.glbimg.com/es/sde/f/2018/07/20/a1efc5a279c303352851a3d68a6e7465_FORMATO.png",68784,34,"FLU","ata","Provável",1,4.12,0.09,1.06,"Fluminense",NA,NA,16,NA,27,NA,1,24,NA,14,2,2,7,NA,NA,NA,NA,NA
"141","Maximiliano Gastón López","maxi-lopez","Maxi López","https://s.glbimg.com/es/sde/f/2018/09/27/06c01113a00936b7c2845177c24d4ae9_FORMATO.png",68800,34,"VAS","ata","Contundido",0,9.15,0,4.31,"Vasco",NA,NA,18,NA,31,NA,5,50,4,4,8,6,15,NA,7,NA,2,NA
"142","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,34,"GRE","zag","Dúvida",1.2,7.39,-0.17,4.77,"Grêmio",NA,NA,16,NA,31,7,NA,12,1,23,2,1,4,NA,NA,NA,NA,NA
"143","Lenon Fernandes Ribeiro","lenon","Lenon","https://s.glbimg.com/es/sde/f/2018/09/27/7a70c852c7670d547f9bc61f6b519e6c_FORMATO.png",63122,34,"VAS","lat","Nulo",0,2.4,0,0.94,"Vasco",NA,NA,3,NA,15,1,NA,3,1,5,1,1,1,NA,NA,NA,NA,NA
"144","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2018/09/27/9a2a4526dd6f2e06c81972b3048b1034_FORMATO.png",68821,34,"VAS","lat","Nulo",0,2.65,0,0.85,"Vasco",NA,NA,9,NA,28,NA,NA,8,1,7,2,4,7,NA,NA,NA,NA,NA
"145","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_FORMATO.png",68770,34,"ATL","mei","Nulo",0,4.44,0,2.4,"Atlético-PR",NA,NA,10,NA,32,NA,NA,22,NA,32,1,2,3,NA,1,1,NA,NA
"146","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,34,"INT","mei","Nulo",0,8,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2018/04/08/c6db42e2a46652d39dfdaf203267d223_FORMATO.png",68872,34,"INT","gol","Provável",8,9.58,0.18,5.29,"Internacional",30,NA,5,14,5,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"148","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,34,"GRE","gol","Provável",1.5,6.19,0.51,2.44,"Grêmio",15,NA,3,16,5,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"149","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,34,"INT","ata","Nulo",-0.6,2.81,-0.37,1.7,"Internacional",NA,NA,6,NA,12,NA,1,3,NA,1,NA,1,NA,NA,1,NA,NA,NA
"150","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,34,"FLU","zag","Provável",3.4,6.42,-0.53,3.65,"Fluminense",NA,NA,10,NA,29,8,NA,30,NA,26,2,4,5,NA,1,NA,NA,NA
"151","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2018/09/20/b3381c5cfe339a41f28141764223aed2_FORMATO.png",68887,34,"FLU","zag","Dúvida",0,6.46,0,2.84,"Fluminense",NA,NA,13,NA,46,9,1,33,NA,24,4,2,8,NA,1,NA,NA,NA
"152","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/09/27/7b0ec92bd9cd8803ca0b44dec6637586_FORMATO.png",68896,34,"VAS","lat","Contundido",-1.2,7.34,-0.53,2.85,"Vasco",NA,NA,19,NA,56,3,NA,17,NA,29,2,3,5,NA,1,NA,NA,NA
"153","André Luiz Barretto Silva Lima","andre-lima","André Lima","https://s.glbimg.com/es/sde/f/2018/03/21/d5bd90b5cbee9c67c4fe5a21cfdfe5f3_FORMATO.png",68893,34,"VIT","ata","Nulo",0.5,3.97,0.03,0.73,"Vitória",NA,NA,27,NA,21,NA,NA,36,5,5,3,6,4,NA,2,NA,NA,NA
"154","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2018/05/17/eb369a54700edd67173154dd1a72cf7b_FORMATO.png",68901,34,"BOT","ata","Nulo",-0.6,3.76,-0.48,1.35,"Botafogo",NA,NA,24,NA,43,NA,NA,22,NA,24,7,5,12,NA,1,NA,1,NA
"155","Vinicius Santos Silva","vinicius","Vinicius","https://s.glbimg.com/es/sde/f/2018/05/24/0cbf8c93ebf616fd456c58a062f7fb7b_FORMATO.png",68917,34,"CHA","ata","Nulo",0,2.6,0,0.42,"Chapecoense",NA,NA,9,NA,16,NA,NA,8,1,2,NA,2,5,NA,NA,NA,NA,NA
"156","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2018/08/21/2c1ebd16cc103b0bd5a7224c74e03f01_FORMATO.png",68911,34,"SAO","mei","Contundido",0,11.43,0,4.25,"São Paulo",NA,NA,38,NA,55,NA,3,39,12,7,NA,11,18,NA,11,1,2,NA
"157","Ronaldo Luiz Alves","ronaldo-alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2018/05/24/596fc62c2e66a9ab2b5119f565e42576_FORMATO.png",68950,34,"SPO","zag","Nulo",0,7,0,2.4,"Sport",NA,NA,28,NA,30,7,NA,29,2,33,9,1,9,NA,NA,NA,NA,NA
"158","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,34,"ATL","zag","Provável",7.5,10.6,0.93,4.75,"Atlético-MG",NA,NA,25,NA,47,7,NA,27,4,35,7,3,6,1,4,NA,1,NA
"159","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,34,"PAL","ata","Provável",3.3,15.22,-1.45,5.61,"Palmeiras",NA,NA,107,NA,80,NA,11,26,3,15,9,18,13,NA,6,1,2,1
"160","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2018/05/07/950b9601003125498cffc38c229783f4_FORMATO.png",68928,34,"CRU","gol","Nulo",0,6.45,0,5,"Cruzeiro",11,NA,3,7,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2018/05/07/6cf5cf190985e20f0a42a7408e164e10_FORMATO.png",69014,34,"CRU","zag","Provável",3.3,4.67,1.03,2.18,"Cruzeiro",NA,NA,9,NA,21,4,NA,12,1,5,2,NA,1,NA,1,NA,NA,NA
"162","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2018/03/20/f5b2dcceef9857c0dab3479a2ec2d946_FORMATO.png",68930,34,"BOT","ata","Nulo",0,7.81,0,4.26,"Botafogo",NA,NA,50,NA,35,NA,2,26,9,8,NA,15,12,NA,7,NA,NA,NA
